epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,214.666,0.64104,0.284,0.86632,0.9969,1,0.995,0.79718,0.91952,0.2936,1.00661,0.00182972,0.00182972,0.00182972
45,219.752,0.69397,0.30739,0.87662,0.99746,1,0.995,0.88134,0.6481,0.26644,0.91178,0.00182576,0.00182576,0.00182576
46,225.021,0.67842,0.29252,0.88282,0.99741,1,0.995,0.86954,0.62587,0.2336,0.91065,0.0018218,0.0018218,0.0018218
47,230.184,0.66244,0.29134,0.87157,0.99852,1,0.995,0.88253,0.63594,0.22296,0.92073,0.00181784,0.00181784,0.00181784
48,235.109,0.6548,0.28908,0.86952,0.99045,1,0.995,0.86047,0.74633,0.24751,0.95142,0.00181388,0.00181388,0.00181388
49,240.438,0.67982,0.294,0.87881,0.99861,1,0.995,0.85697,0.74586,0.25642,0.93459,0.00180992,0.00180992,0.00180992
50,246.634,0.6494,0.29238,0.86473,0.99877,1,0.995,0.85299,0.72177,0.23065,0.92259,0.00180596,0.00180596,0.00180596
51,251.625,0.66976,0.28983,0.87322,0.99853,1,0.995,0.88339,0.67404,0.23508,0.93333,0.001802,0.001802,0.001802
52,256.734,0.63253,0.28247,0.86634,0.99879,1,0.995,0.85664,0.71615,0.22486,0.9322,0.00179804,0.00179804,0.00179804
53,261.643,0.66379,0.28959,0.88215,0.99836,1,0.995,0.85357,0.64478,0.21925,0.91255,0.00179408,0.00179408,0.00179408
54,266.834,0.61749,0.2747,0.86702,0.99867,1,0.995,0.87257,0.66444,0.24224,0.91864,0.00179012,0.00179012,0.00179012
55,272.036,0.63135,0.27544,0.85323,0.99807,1,0.995,0.8609,0.63441,0.23944,0.90604,0.00178616,0.00178616,0.00178616
56,278.312,0.62742,0.28423,0.85345,0.99862,1,0.995,0.90188,0.54752,0.22766,0.88137,0.0017822,0.0017822,0.0017822
57,283.891,0.63118,0.28148,0.87623,0.9979,1,0.995,0.89172,0.56105,0.20843,0.89101,0.00177824,0.00177824,0.00177824
58,290.472,0.63101,0.28157,0.86559,0.9984,1,0.995,0.86312,0.683,0.2429,0.91737,0.00177428,0.00177428,0.00177428
59,296.008,0.61288,0.27396,0.86836,0.9984,1,0.995,0.85198,0.73814,0.23407,0.93365,0.00177032,0.00177032,0.00177032
60,301.102,0.61462,0.27604,0.85604,0.99775,1,0.995,0.84251,0.74419,0.24303,0.92461,0.00176636,0.00176636,0.00176636
61,306.217,0.60668,0.26689,0.85718,0.99853,1,0.995,0.85537,0.65824,0.22798,0.9268,0.0017624,0.0017624,0.0017624
62,311.168,0.64708,0.28367,0.86302,0.9988,1,0.995,0.8452,0.71019,0.23248,0.9276,0.00175844,0.00175844,0.00175844
63,316.08,0.59514,0.26382,0.85201,0.99879,1,0.995,0.80685,0.8755,0.24065,1.00305,0.00175448,0.00175448,0.00175448
64,320.948,0.58601,0.26144,0.84526,0.99887,1,0.995,0.848,0.78091,0.24759,0.94624,0.00175052,0.00175052,0.00175052
65,325.845,0.59295,0.26839,0.85248,0.99469,1,0.995,0.87417,0.61629,0.22057,0.9023,0.00174656,0.00174656,0.00174656
66,330.799,0.59467,0.25727,0.85274,0.99867,1,0.995,0.87641,0.58129,0.20191,0.89657,0.0017426,0.0017426,0.0017426
67,335.822,0.60366,0.26241,0.85812,0.99862,1,0.995,0.88011,0.61296,0.20629,0.9007,0.00173864,0.00173864,0.00173864
68,340.901,0.6005,0.25948,0.85432,0.99871,1,0.995,0.8866,0.57247,0.22114,0.89595,0.00173468,0.00173468,0.00173468
69,345.96,0.58995,0.26149,0.86451,0.99867,1,0.995,0.87425,0.58964,0.20589,0.89914,0.00173072,0.00173072,0.00173072
70,351.108,0.59829,0.25401,0.85326,0.99877,1,0.995,0.88922,0.5435,0.20323,0.89257,0.00172676,0.00172676,0.00172676
71,356.076,0.56495,0.24772,0.84639,0.99878,1,0.995,0.91145,0.51782,0.19145,0.88285,0.0017228,0.0017228,0.0017228
72,361.082,0.59944,0.26444,0.85492,0.99779,1,0.995,0.88396,0.61322,0.21813,0.90599,0.00171884,0.00171884,0.00171884
73,365.862,0.61162,0.27,0.86815,0.99889,1,0.995,0.87975,0.5869,0.21023,0.89594,0.00171488,0.00171488,0.00171488
74,370.749,0.59548,0.25303,0.86297,0.99771,1,0.995,0.88527,0.58307,0.2016,0.89388,0.00171092,0.00171092,0.00171092
75,375.644,0.59497,0.25528,0.86119,0.99717,1,0.995,0.86449,0.69767,0.20471,0.92751,0.00170696,0.00170696,0.00170696
76,380.432,0.56865,0.24681,0.83914,0.99879,1,0.995,0.89683,0.55028,0.18819,0.89216,0.001703,0.001703,0.001703
77,385.38,0.58333,0.24938,0.85314,0.99881,1,0.995,0.91238,0.52591,0.19118,0.88686,0.00169904,0.00169904,0.00169904
78,390.366,0.60152,0.25922,0.86144,0.99744,1,0.995,0.8833,0.54163,0.21203,0.88602,0.00169508,0.00169508,0.00169508
79,395.434,0.60444,0.26298,0.85375,0.99874,1,0.995,0.87973,0.55192,0.19884,0.88937,0.00169112,0.00169112,0.00169112
80,400.464,0.59286,0.25863,0.85534,0.9988,1,0.995,0.90493,0.54362,0.19495,0.88832,0.00168716,0.00168716,0.00168716
81,405.335,0.58159,0.25081,0.84908,0.99892,1,0.995,0.91295,0.54322,0.22499,0.88306,0.0016832,0.0016832,0.0016832
82,410.221,0.59691,0.25103,0.84875,0.99855,1,0.995,0.88348,0.58357,0.2543,0.90866,0.00167924,0.00167924,0.00167924
83,415.31,0.58617,0.24738,0.8515,0.99888,1,0.995,0.90266,0.58061,0.24027,0.88948,0.00167528,0.00167528,0.00167528
84,420.209,0.60582,0.26975,0.85642,0.99882,1,0.995,0.89431,0.54519,0.21513,0.88381,0.00167132,0.00167132,0.00167132
85,425.205,0.58703,0.24912,0.87117,0.99791,1,0.995,0.9242,0.49916,0.19698,0.87425,0.00166736,0.00166736,0.00166736
